us	-11.621249
bonn	-12.314396
computer	-10.928102
sa	-11.467098
deep	-12.314396
ryan	-12.314396
key	-12.719861
nevada	-10.773952
mori	-12.719861
free	-11.333567
amanda	-12.026714
awards	-12.026714
district	-13.413009
storm	-12.026714
lanka	-11.803571
renault	-12.719861
water	-13.413009
project	-11.110423
golf	-13.413009
solomon	-11.110423
gama	-13.413009
basel	-13.413009
human	-11.803571
memphis	-13.413009
ron	-11.621249
magazine	-12.719861
palma	-11.215784
gnu	-10.64042
stars	-12.314396
fernandes	-11.803571
profile	-13.413009
lexikon	-13.413009
viii	-9.606346
girls	-12.314396
marin	-12.719861
tiger	-12.026714
diamond	-12.026714
special	-12.026714
merriam	-12.719861
volkswagen	-12.314396
model	-10.194133
industrial	-11.803571
set	-11.621249
ya	-5.2974877
yun	-8.443195
amadeus	-13.413009
faso	-11.621249
number	-11.333567
language	-10.117171
about	-11.215784
mercury	-12.719861
kurdistan	-12.719861
brighton	-13.413009
eastern	-12.314396
distribution	-12.314396
true	-11.215784
peace	-12.719861
web	-10.522636
base	-12.026714
leonardo	-11.803571
nam	-13.413009
basic	-11.621249
koloni	-13.413009
right	-13.413009
mohamed	-11.333567
ru	-10.277514
burundi	-12.026714
barbados	-11.803571
f1	-12.314396
française	-12.719861
pioneer	-12.719861
hyatt	-13.413009
int	-12.719861
books	-12.719861
memory	-13.413009
names	-11.803571
rand	-12.719861
gp	-12.314396
reggio	-11.621249
messina	-11.621249
administrative	-12.314396
save	-13.413009
mclaren	-12.314396
starr	-13.413009
explorer	-11.621249
doors	-13.413009
mk	-10.773952
polo	-11.621249
authority	-11.467098
oda	-12.314396
binh	-13.413009
yo	-12.719861
amor	-12.719861
mouse	-13.413009
june	-11.621249
linkin	-10.368486
sung	-13.413009
extreme	-12.719861
skin	-12.026714
falling	-13.413009
wiki	-13.413009
gaga	-13.413009
selena	-12.719861
phone	-11.621249
unity	-12.314396
salerno	-12.314396
site	-11.467098
ga	-12.026714
leader	-13.413009
nasdaq	-13.413009
marek	-11.803571
province	-12.314396
kimi	-6.295803
rome	-11.803571
imdb	-13.413009
ipod	-12.026714
respublika	-9.254126
july	-12.719861
gi	-11.803571
arara	-13.413009
mahatma	-11.803571
valentia	-13.413009
lt	-13.413009
lecce	-13.413009
xhosa	-13.413009
value	-13.413009
république	-13.413009
blog	-13.413009
nha	-13.413009
sleeping	-13.413009
abo	-13.413009
tm	-12.719861
ipad	-12.314396
vibo	-13.413009
february	-12.314396
klerk	-12.719861
ján	-13.413009
factbook	-12.026714
limpopo	-13.413009
porno	-13.413009
paramore	-13.413009
venda	-12.314396
ə	-7.515855
ndebele	-11.621249
dinuzulu	-13.413009
isindebele	-13.413009
ase	-12.026714
hoa	-13.413009
bella	-11.803571
